Ticket,Productos
Ticket_1,"['bread', 'butter', 'wine', 'bananas', 'coffee', 'carrots']"
Ticket_2,"['tomatoes', 'onions', 'cheese', 'milk', 'potatoes']"
Ticket_3,"['beer', 'chips', 'asparagus', 'salsa', 'milk', 'apples']"
Ticket_4,"['olive oil', 'bread', 'butter', 'tomatoes', 'steak', 'carrots']"
Ticket_5,"['tomatoes', 'onions', 'chips', 'wine', 'ketchup', 'orange juice']"
Ticket_6,"['bread', 'butter', 'beer', 'chips', 'milk']"
Ticket_7,"['butter', 'tomatoes', 'carrots', 'coffee', 'sugar']"
Ticket_8,"['tomatoes', 'onions', 'cheese', 'milk', 'potatoes']"
Ticket_9,"['bread', 'butter', 'ketchup', 'coffee', 'chicken wings']"
Ticket_10,"['butter', 'beer', 'chips', 'asparagus', 'apples']"
Ticket_11,"['tomatoes', 'onion', 'beer', 'chips', 'milk', 'coffee']"
